filename,psnr,ssim,mse,mae,lpips,inference_time,ir_path,pred_path,gt_path
tile_0011.png,29.3100528717041,0.6860771,0.0011721814516931772,0.023851417005062103,0.2544008493423462,0.007044792175292969,data/ir\tile_0011.png,outputs/predictions\tile_0011.png,data/rgb\tile_0011.png
tile_0012.png,27.32139778137207,0.5913751,0.001852935878559947,0.029866229742765427,0.3776974380016327,0.009221315383911133,data/ir\tile_0012.png,outputs/predictions\tile_0012.png,data/rgb\tile_0012.png
tile_0013.png,29.58098602294922,0.49852708,0.0011012894101440907,0.024816375225782394,0.3785492479801178,0.00600123405456543,data/ir\tile_0013.png,outputs/predictions\tile_0013.png,data/rgb\tile_0013.png
tile_0014.png,35.54020690917969,0.5850523,0.0002792408922687173,0.013039760291576385,0.212770015001297,0.013035058975219727,data/ir\tile_0014.png,outputs/predictions\tile_0014.png,data/rgb\tile_0014.png
tile_0015.png,29.903335571289062,0.71460074,0.0010225073201581836,0.02145545743405819,0.23945920169353485,0.008229732513427734,data/ir\tile_0015.png,outputs/predictions\tile_0015.png,data/rgb\tile_0015.png
tile_0016.png,29.10808753967285,0.6524873,0.0012279795482754707,0.02444075047969818,0.37618374824523926,0.006998300552368164,data/ir\tile_0016.png,outputs/predictions\tile_0016.png,data/rgb\tile_0016.png
tile_0017.png,29.146194458007812,0.4977708,0.0012172519927844405,0.02395562455058098,0.3652980625629425,0.007225751876831055,data/ir\tile_0017.png,outputs/predictions\tile_0017.png,data/rgb\tile_0017.png
tile_0018.png,27.812803268432617,0.60249454,0.0016547020059078932,0.028440644964575768,0.3941881060600281,0.007955312728881836,data/ir\tile_0018.png,outputs/predictions\tile_0018.png,data/rgb\tile_0018.png
tile_0019.png,29.85956573486328,0.74522257,0.0010328646749258041,0.022124487906694412,0.20166368782520294,0.006966590881347656,data/ir\tile_0019.png,outputs/predictions\tile_0019.png,data/rgb\tile_0019.png
tile_0020.png,25.054790496826172,0.5733556,0.0031226330902427435,0.039033886045217514,0.3658519983291626,0.0059986114501953125,data/ir\tile_0020.png,outputs/predictions\tile_0020.png,data/rgb\tile_0020.png
tile_0021.png,27.915563583374023,0.68467736,0.001616008346900344,0.027443870902061462,0.29321688413619995,0.006577491760253906,data/ir\tile_0021.png,outputs/predictions\tile_0021.png,data/rgb\tile_0021.png
tile_0022.png,23.67694091796875,0.5007449,0.004288505297154188,0.04182218015193939,0.4463512897491455,0.00700688362121582,data/ir\tile_0022.png,outputs/predictions\tile_0022.png,data/rgb\tile_0022.png
tile_0023.png,27.899866104125977,0.5456039,0.001621860428713262,0.02733658254146576,0.32526421546936035,0.007999658584594727,data/ir\tile_0023.png,outputs/predictions\tile_0023.png,data/rgb\tile_0023.png
tile_0024.png,26.745206832885742,0.5151214,0.0021158228628337383,0.03285888582468033,0.4091666638851166,0.007164716720581055,data/ir\tile_0024.png,outputs/predictions\tile_0024.png,data/rgb\tile_0024.png
tile_0025.png,26.342453002929688,0.44997635,0.0023214241955429316,0.035559430718421936,0.42967239022254944,0.006963253021240234,data/ir\tile_0025.png,outputs/predictions\tile_0025.png,data/rgb\tile_0025.png
tile_0026.png,26.58790397644043,0.62224007,0.0021938642021268606,0.03954913839697838,0.26416122913360596,0.005999326705932617,data/ir\tile_0026.png,outputs/predictions\tile_0026.png,data/rgb\tile_0026.png
tile_0027.png,33.62541961669922,0.53131324,0.00043396855471655726,0.017420588061213493,0.22267907857894897,0.00726771354675293,data/ir\tile_0027.png,outputs/predictions\tile_0027.png,data/rgb\tile_0027.png
tile_0028.png,28.974903106689453,0.5785993,0.0012662219814956188,0.025531724095344543,0.32128721475601196,0.0069959163665771484,data/ir\tile_0028.png,outputs/predictions\tile_0028.png,data/rgb\tile_0028.png
tile_0029.png,26.37809944152832,0.60413355,0.002302449196577072,0.035094209015369415,0.38605546951293945,0.0070037841796875,data/ir\tile_0029.png,outputs/predictions\tile_0029.png,data/rgb\tile_0029.png
tile_0030.png,26.951684951782227,0.6772058,0.002017584163695574,0.03253205865621567,0.26827123761177063,0.0065157413482666016,data/ir\tile_0030.png,outputs/predictions\tile_0030.png,data/rgb\tile_0030.png
tile_0031.png,26.625286102294922,0.3258411,0.0021750619634985924,0.03477858752012253,0.5892605185508728,0.017189741134643555,data/ir\tile_0031.png,outputs/predictions\tile_0031.png,data/rgb\tile_0031.png
tile_0032.png,25.64655113220215,0.20517206,0.0027248654514551163,0.038329269737005234,0.41959041357040405,0.006997108459472656,data/ir\tile_0032.png,outputs/predictions\tile_0032.png,data/rgb\tile_0032.png
